,Multiple renewables,Solar energy,Renewable hydropower,Bioenergy,Wind energy,Geothermal energy,prediction
589829,0.28128958377953595,12.191090331467148,796.2197648568414,0.09989649061192463,11.528236091148576,0.049494696960037166,3.2108981283985987
106503,497.92921240914484,0.002559417095509442,0.0015140696500417494,0.8541261225922285,0.15963075341888233,4.84731597671928e-05,1.3399502710213478
458763,488.56011517357734,0.002559417095509442,0.005678372654765562,0.2674538382485443,11.531878857003212,4.84731597671928e-05,1.0400302874941731
491535,55.45724301488423,34.2142385739385,0.6519076152506771,0.00027974512548722963,0.0,0.10652149347554607,2.3198270665405767
32787,139.85978588505054,127.82233956531334,2031.3736105094436,1.3657171863938613,0.0,420.07311914028423,3.7059588825671033
262166,9.06407246737046,0.5040152575737955,0.0015140696500417494,0.00027974512548722963,0.0,420.07311914028423,1.0000808531976035
458776,0.0,7.587822662817262,0.058224161122699014,0.00027974512548722963,0.0,420.07311914028423,1.5600367927699657
524326,11.460469663527924,6.217084899539027,6054.2737594999235,0.09989649061192463,0.0,4.84731597671928e-05,-0.5560424675723304
81965,115.04303545037986,14.660504131768706,2079.2319092154353,0.21464434308914826,0.0,0.14793421984107558,3.4924608945559323
8243,0.0,0.262552221625199,1363.5137713300596,0.00027974512548722963,0.0,4.84731597671928e-05,1.5200015884447877
679996,0.022397003454990516,12.040017277809062,0.529476127939126,102.97612442091445,0.0,420.07311914028423,2.7502702998802127
41023,13.41949621827504,16.420275112220803,0.0015140696500417494,0.09989649061192463,0.0,4.84731597671928e-05,0.49912516205009827
69,39.7665914338572,10.320493429940486,53.74426970001237,0.00027974512548722963,0.0,4.84731597671928e-05,1.3299719009764381
688198,20.10022607954415,10.522908745617963,0.7643138793643105,0.0816697610207282,0.15975888356947943,4.84731597671928e-05,1.7198516604267688
139341,14.313855448189923,0.07910712916625928,925.9149192989265,0.09204313214814253,0.0,4.84731597671928e-05,0.4005594936203764
41038,0.0,5.431084094847279,59.7892486235153,102.97612442091445,11.53137902237886,4.84731597671928e-05,1.5100228557903217
630862,115.04303545037986,125.66119959116484,495.095384032112,0.10775713111702534,0.0,4.84731597671928e-05,2.429907843303275
98383,98.86506082841798,50.902015287300486,415.48184496353366,0.00027974512548722963,0.0,420.07311914028423,3.479855184582432
720980,0.0,32.03334993429337,0.0015140696500417494,102.97612442091445,7.9397128741915175,0.049494696960037166,2.7102982539559357
65625,36.182758923604695,0.002559417095498784,10.537750187952588,0.00027974512548722963,0.0,0.004625769547339509,0.029179406852564555
532570,84.33190734788172,20.65664737149051,527.7256033562976,0.00027974512548722963,0.0,0.06685255518785804,3.543747196243477
93,0.024727270025936665,49.30140718303332,0.0015140696500417494,0.00027974512548722963,0.0,4.84731597671928e-05,1.2699452911888505
106593,92.13093977162204,70.58926546932535,796.2197648568414,102.97612442091445,0.0,1.106666694418284,4.040295343892947
221283,12.12665777530038,0.002559417095498784,5372.433083081828,0.24017508379107877,0.0,4.84731597671928e-05,-0.020560257086507
589926,0.5345603731903517,31.35514690421475,5372.433083081828,0.00027974512548722963,0.050694643605467604,4.84731597671928e-05,-0.24769812514226988
704615,2.6480364840565316,0.002559417095495231,608.6551938194219,0.09400184034520276,0.0,4.84731597671928e-05,0.15008265842190702
114791,0.13014193996486845,38.569899764728994,5372.433083081828,0.032144659641013096,0.0,0.022941588832042337,0.7097829106435595
524407,105.68957757214342,0.0706729820007228,4654.373127261255,0.08848160357356427,0.0,4.84731597671928e-05,1.4900005407022034
16507,0.3522552781199171,20.575912989645,0.08251999270976418,0.00027974512548722963,11.52603726555884,4.84731597671928e-05,1.6700000321825457
196731,68.63454847819557,0.14645742185940946,2012.9147320024636,102.97612442091445,0.0,4.84731597671928e-05,2.850521290222644
65662,0.0,36.212317288940355,25.063950313276337,0.00027974512548722963,0.19857619143779282,4.84731597671928e-05,1.6599230483225642
614535,0.01440735465329901,41.8861031572372,4452.968271259493,1.137701208226252,0.0,4.84731597671928e-05,1.2299374909892462
417932,11.774459988651325,0.0062216021406282795,646.2065228531628,0.08848160357356427,0.0,4.84731597671928e-05,-0.16865935515528782
630928,11.460469663527924,32.8910778345344,925.3462796041002,102.97612442091445,0.0,420.07311914028423,3.3800267592843434
8338,9.784672633558602,81.42302124537106,133.94351087284792,102.97612442091445,0.5422440015744534,420.07311914028423,3.309928292082897
8339,84.33190734788172,0.05407217111974916,0.038883553873968024,1.137701208226252,7.998646477544501,4.84731597671928e-05,1.8200020255712834
16532,0.5652624113809614,20.361919583109934,39.052746988147604,0.00027974512548722963,0.0,420.07311914028423,2.1401932901910636
49302,0.0,5.972877249719125,0.0015140696500417494,10.85913673800863,10.588151743260038,420.07311914028423,2.5599375033337357
163991,0.03218450933662864,0.15328454582941387,1.0945770632733174,1.1760258488049904,0.051428526540548525,0.13009394743810776,2.550223990758979
524440,25.223290242913706,0.5530581528473981,0.4110084335209454,0.0276215977563965,0.0,4.84731597671928e-05,1.1699925868801633
549029,151.38887122208357,0.7811934008485666,0.0015140696500417494,0.032107641673192466,0.0,4.84731597671928e-05,1.4599978244774416
532645,53.71892721157594,2.684026785073412,19.02097414119089,0.00027974512548722963,7.9397128741915175,4.84731597671928e-05,1.9199921395416137
671914,11.71686218452256,4.862690290573636,0.0015140696500417494,0.09989649061192463,0.0,0.1264739292616779,2.0200135913533113
171,0.030911738784009657,41.98013188187597,0.0015140696500417494,0.00027974512548722963,0.0,4.84731597671928e-05,1.2699452911888505
24755,0.057888812035875814,10.138218095136951,0.0255808845827461,0.00027974512548722963,0.0,4.84731597671928e-05,1.8700553536768303
303284,13.916221096395699,19.65789094946022,6054.2737594999235,0.032107641673192466,0.0,4.84731597671928e-05,-0.3828306530581017
508091,67.77635835476111,5.96056346920255,53.74426970001237,0.06650558856057676,3.6673029695298496,4.84731597671928e-05,2.1200793383421765
262347,99.07625389495217,32.982848541438344,0.4110084335209454,0.09204313214814253,0.10998549190309137,0.1264739292616779,2.6100532742759217
327887,0.08032960190455785,33.431253789157125,45.375788040121115,102.97612442091445,0.0,0.1264739292616779,3.4481351288914386
16594,0.0,47.86232557277099,27.881786926359013,102.97612442091445,0.0,4.84731597671928e-05,2.300295024079077
450770,98.86506082841798,2.0586190701523184,563.5555005062556,102.97612442091445,0.0,4.84731597671928e-05,3.189943730233874
647384,51.668895459562776,23.224386057117172,9.64686665937023,102.97612442091445,0.0,4.84731597671928e-05,1.2400032850660156
213210,20.563693224465574,0.002559417095495231,0.00822259074373255,0.03513802047987813,0.0,0.10652149347554607,1.4299536774861188
458981,3.6872925402617103,41.98013188187597,207.95011472330486,0.0797541905559489,0.0,0.06685255518785804,3.464921629130055
65768,159.70119485381906,0.002559417095495231,6054.2737594999235,0.00027974512548722963,0.0,4.84731597671928e-05,0.1384631466802254
147690,0.13014193996486845,1072.755724095702,495.095384032112,102.97612442091445,0.0,420.07311914028423,3.856645542278661
614638,101.86068064580449,14.660504131768706,669.4677748727237,0.03513802047987813,11.528230548282107,4.84731597671928e-05,2.1200173564156746
147695,0.10627163181079569,0.002559417095509442,26.17576515904429,1.1760258488049904,0.0,4.84731597671928e-05,1.1199523223282988
180466,0.0,162.24425581016945,5372.433083081828,0.00027974512548722963,11.295947883718409,4.84731597671928e-05,0.00200648689479405
598259,20.563693224465574,0.03454432826926768,0.0015140696500417494,0.00027974512548722963,0.0,0.004625769547339509,-0.4428582248665818
426231,0.0,70.58926546932535,135.37791336619793,0.09989649061192463,0.0,420.07311914028423,2.689230416902663
98559,0.24942906473936244,10.138218095136951,0.0015140696500417494,0.006878913560464772,0.0,0.13009394743810776,2.7408287577023116
16644,0.09177401113276784,0.005943301313842353,925.9576863795683,0.00027974512548722963,0.0,4.84731597671928e-05,0.8500669321427556
229636,139.4062110695227,0.022306438732627498,18.344386070587323,0.00027974512548722963,0.0,0.5946863347683999,1.9900179797388868
336135,0.0,31.144803073194005,0.0015140696500417494,0.00027974512548722963,0.0,0.0031195860132378073,0.24106123596343293
278804,0.0787961758152882,0.002559417095509442,0.529476127939126,0.00027974512548722963,0.10998549190309137,0.9793566189670471,1.5000004007440098
